t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8222,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8223,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8224,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8225,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8226,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8227,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8228,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8229,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8230,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8231,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8232,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8233,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8234,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8235,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8236,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8237,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8238,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8239,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8240,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8241,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8242,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8243,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8244,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8245,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8246,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8247,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8248,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8249,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8250,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8251,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8252,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8253,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8254,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8255,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8256,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8257,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8258,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8259,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8260,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8261,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8262,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8263,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8264,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8265,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8266,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8267,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8268,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8269,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8270,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8271,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8272,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8273,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8274,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8275,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8276,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8277,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8278,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8279,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8280,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8281,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8282,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8283,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8284,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8285,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8286,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8287,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
